LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Emissions|CO2|Energy|Supply|Electricity;Emissions|CO2|Energy|Supply|Electricity;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Coal;Emissions|CO2|Energy|Supply|Electricity|Coal;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Hard Coal;Emissions|CO2|Energy|Supply|Electricity|Hard Coal;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Lignite;Emissions|CO2|Energy|Supply|Electricity|Lignite;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Oil;Emissions|CO2|Energy|Supply|Electricity|Oil;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Gas;Emissions|CO2|Energy|Supply|Electricity|Gas;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Waste;Emissions|CO2|Energy|Supply|Electricity|Waste;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Other;Emissions|CO2|Energy|Supply|Electricity|Other;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Other Fossil;Emissions|CO2|Energy|Supply|Electricity|Other Fossil;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Fossil;Emissions|CO2|Energy|Supply|Electricity|Fossil;Mt CO2/yr;Mt CO2/yr;1
Capacity|Electricity;Capacity|Electricity;GW;GW;1
Capacity|Electricity|Biomass;Capacity|Electricity|Biomass;GW;GW;1
Capacity|Electricity|Coal;Capacity|Electricity|Coal;GW;GW;1
Capacity|Electricity|Gas;Capacity|Electricity|Gas;GW;GW;1
Capacity|Electricity|Gas CC;Capacity|Electricity|Gas CC;GW;GW;1
Capacity|Electricity|Gas OC;Capacity|Electricity|Gas OC;GW;GW;1
Capacity|Electricity|Hard Coal;Capacity|Electricity|Hard Coal;GW;GW;1
Capacity|Electricity|Hydro;Capacity|Electricity|Hydro;GW;GW;1
Capacity|Electricity|Hydrogen;Capacity|Electricity|Hydrogen;GW;GW;1
Capacity|Electricity|Hydrogen FC;Capacity|Electricity|Hydrogen FC;GW;GW;1
Capacity|Electricity|Hydrogen OC;Capacity|Electricity|Hydrogen OC;GW;GW;1
Capacity|Electricity|Hydrogen CC;Capacity|Electricity|Hydrogen CC;GW;GW;1
Capacity|Electricity|Lignite;Capacity|Electricity|Lignite;GW;GW;1
Capacity|Electricity|Nuclear;Capacity|Electricity|Nuclear;GW;GW;1
Capacity|Electricity|Oil;Capacity|Electricity|Oil;GW;GW;1
Capacity|Electricity|Other;Capacity|Electricity|Other;GW;GW;1
Capacity|Electricity|Other Fossil;Capacity|Electricity|Other Fossil;GW;GW;1
Capacity|Electricity|Peak Demand;Capacity|Electricity|Peak Demand;GW;GW;1
Capacity|Electricity|Solar;Capacity|Electricity|Solar;GW;GW;1
Capacity|Electricity|Solar|CSP;Capacity|Electricity|Solar|CSP;GW;GW;1
Capacity|Electricity|Solar|PV;Capacity|Electricity|Solar|PV;GW;GW;1
