LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Emissions|CO2|Energy|Supply|Electricity;Emissions|CO2|Energy|Supply|Electricity;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Coal;Emissions|CO2|Energy|Supply|Electricity|Coal;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Coal|w/o CCS;Emissions|CO2|Energy|Supply|Electricity|Coal|w/o CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Coal|w/ CCS;Emissions|CO2|Energy|Supply|Electricity|Coal|w/ CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Hard Coal;Emissions|CO2|Energy|Supply|Electricity|Hard Coal;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Hard Coal|w/o CCS;Emissions|CO2|Energy|Supply|Electricity|Hard Coal|w/o CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Hard Coal|w/ CCS;Emissions|CO2|Energy|Supply|Electricity|Hard Coal|w/ CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Lignite;Emissions|CO2|Energy|Supply|Electricity|Lignite;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Lignite|w/o CCS;Emissions|CO2|Energy|Supply|Electricity|Lignite|w/o CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Lignite|w/ CCS;Emissions|CO2|Energy|Supply|Electricity|Lignite|w/ CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Oil;Emissions|CO2|Energy|Supply|Electricity|Oil;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Gas;Emissions|CO2|Energy|Supply|Electricity|Gas;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Gas|w/o CCS;Emissions|CO2|Energy|Supply|Electricity|Gas|w/o CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Gas|w/ CCS;Emissions|CO2|Energy|Supply|Electricity|Gas|w/ CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Gas CC|w/o CCS;Emissions|CO2|Energy|Supply|Electricity|Gas CC|w/o CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Gas OC|w/o CCS;Emissions|CO2|Energy|Supply|Electricity|Gas OC|w/o CCS;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Waste;Emissions|CO2|Energy|Supply|Electricity|Waste;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Other;Emissions|CO2|Energy|Supply|Electricity|Other;Mt CO2/yr;Mt CO2/yr;1
Emissions|CO2|Energy|Supply|Electricity|Other Fossil;Emissions|CO2|Energy|Supply|Electricity|Other Fossil;Mt CO2/yr;Mt CO2/yr;1
